paper_id,title,authors,publication_year,venue,doi,keywords,research_problem,application_domain,main_objective,relevance_to_our_project,relevance_score_0_to_5,methodological_relevance_score_0_to_5
PAPER_09,Deep learning for computer vision based activity recognition and fall detection of the elderly: a systematic review,"F. Xavier Gaya-Morey, Cristina Manresa-Yee, José M. Buades-Rubio",2024,"Applied Intelligence (Springer, vol. 54, pp. 8982–9007)",10.1007/s10489-024-05645-1,"Human activity recognition, Fall detection, Ambient assisted living, Deep learning, Computer vision, Elderly","The persistent divergence between high laboratory benchmark performance and real-world deployment viability in computer vision-based elderly fall detection, especially regarding edge computing latency, occlusion, and privacy.","Ambient Assisted Living (AAL), Geriatric Telecare, and Intelligent Video Surveillance","Systematically review deep learning methods applied to computer vision for elderly fall detection and Human Activity Recognition (HAR), analyzing model architectures, spatial-temporal representations, edge hardware, and privacy preservation.","Directly matches our core technical domain: computer vision, deep learning, elderly fall detection, edge deployment constraints, and real-world failure analysis. Highlights staircases and false-positive reduction as critical gaps.",5,5
PAPER_11,Trustworthy fall detection: A responsible AI approach for real-time video monitoring of the elderly,"Mona M. Moussa, Rasha Shoitan, Nahed Tawfik",2026,"Intelligent Systems with Applications (Elsevier, vol. 25, 200722, pp. 1–15)",10.1016/j.iswa.2026.200722,"Fall detection, Responsible AI, Explainable AI, Decentralized learning, Federated learning, AI-enabled healthcare",Lack of trustworthiness in AI fall detection: 'black box' opacity prevents clinical validation; centralized video storage creates severe privacy vulnerabilities; high computational complexity hinders real-time edge processing; and models fail across diverse environments.,Trustworthy Geriatric Healthcare & Real-Time Smart Surveillance,"Develop a responsible AI fall-detection framework integrating lightweight MobileNetV2 for feature extraction, GRU for temporal modeling, Grad-CAM++ for visual explainability, federated learning for privacy, and sliding-window real-time inference.","Directly addresses core components of our target system: real-time CCTV monitoring, lightweight edge inference (MobileNetV2), temporal sliding-window verification (GRU), privacy preservation, and visual evidence generation (Grad-CAM++ heatmaps for security). Lacks staircase testing and escalation logic.",5,5
PAPER_12,Real-Time Vision-Based Fall Detection Systems for the Elderly: A Systematic Review,"Mahammad Nabizade, Réda Yahiaoui, Isabelle Lajoie, Nassima Nacer, Frédéric Auber, Moustafa Fayad",2026,"Sensors (MDPI, vol. 26, no. 16, 5069, pp. 1–16)",10.3390/s26165069,"PRISMA, fall detection, computer vision, deep learning, real-time, edge devices",The vast majority of published vision-based fall detection models claim 'real-time' capability in theory but fail to benchmark on physical hardware or report inference latency; lack of standardized real-time performance thresholds.,Real-Time Clinical & Domestic Fall Detection on Embedded Hardware,"Conduct a PRISMA-compliant systematic review filtering 588 papers down to the 11 studies that rigorously evaluate vision-based deep learning fall detection on physical hardware, establishing an empirical 10 FPS threshold based on human fall biomechanics.","Foundational empirical guidance for our target system: validates our local edge PC deployment choice, establishes the 10 FPS latency requirement, documents alarm/buzzer implementations, and confirms the absence of acknowledgement/escalation in existing systems.",5,5
PAPER_02,Exploring Human Pose Estimation and the Usage of Synthetic Data for Elderly Fall Detection in Real-World Surveillance,"Sardor Juraev, Akash Ghimire, Jumabek Alikhanov, Vijay Kakani, Heung-Kook Choi",2022,"IEEE Access (vol. 10, pp. 93674–93686)",10.1109/ACCESS.2022.3203174,"Elderly care, fall detection, pose estimation, synthetic data, video surveillance","Scarcity of realistic surveillance fall datasets with elderly subjects; performance collapse of 2D human pose estimation (HPE) under surveillance artifacts including steep camera angles, low resolution, motion blur, and occlusions.",Automated CCTV Video Surveillance for Elderly Care Facilities,"Benchmark five state-of-the-art pose estimation models (AlphaPose, DCPose, OpenPose, OpenPifPaf, MoveNet) with LSTM and Transformer classifiers; introduce a synthetic elderly fall dataset generated in Unity to pre-train and augment models for real-world surveillance.","Directly relevant to our CCTV computer vision pipeline: high-angle camera surveillance, pose estimation robustness, temporal Transformer/LSTM modeling, and handling occlusions. Lacks staircase-specific validation and emergency escalation.",4,4
PAPER_03,Fall Detection System With Artificial Intelligence-Based Edge Computing,"Bor-Shing Lin, Tiku Yu, Chih-Wei Peng, Chueh-Ho Lin, Hung-Kai Hsu, I-Jung Lee",2022,"IEEE Access (vol. 10, pp. 5740–5751)",10.1109/ACCESS.2021.3140164,"Deep learning, edge computing, fall detection, neuromorphic computing hardware, the IoT","High computational complexity, severe cloud transmission bandwidth costs, and privacy vulnerabilities when transmitting raw video streams from local cameras to remote cloud servers for fall detection.",Edge-AI Smart Home Monitoring for Elderly Fall Prevention,"Develop and physically deploy an ultra-low-power, real-time fall detection system by porting a modified YOLOv3-tiny neural network to neuromorphic edge hardware (Gyrfalcon Lightspeeur / Intel Movidius), classifying postures via SVM, and transmitting Wi-Fi alerts.","Directly implements the local edge processing and notification paradigm of our target system (local PC/edge AI, zero cloud streaming, Wi-Fi alert transmission). Missing staircase dynamics, temporal post-impact verification window, and escalation.",4,4
PAPER_07,"Artificial Intelligence for Elderly Fall Detection: State-of-the-Art Methods, Applications, and Challenges","Md Jaber Al Nahian, Mufti Mahmud, Md Atiqur Rahman Ahad, Karl Andersson",2026,"Cognitive Computation (Springer, vol. 18, no. 12, pp. 1–44)",10.1007/s12559-026-10550-5,"Wearable sensor, Vision, Ambient, Sensor fusion, Machine learning, Deep learning","Fragmented research landscape across wearable, ambient, vision, and multimodal fall detection systems; widespread lack of standardized evaluation protocols and severe gap between lab benchmarks and elderly deployment.","Smart Healthcare, Geriatric Telecare, and Ambient Assisted Living","Conduct an exhaustive PRISMA-guided systematic review analyzing over 100 AI-based elderly fall detection studies, categorizing sensor modalities, deep learning architectures, public benchmark datasets, and open real-world challenges.","Comprehensive reference for the entire research landscape: validates our target problem, highlights false-positive reduction as a top priority, confirms staircase environments as severely underexplored, and documents alert notification architectures.",4,4
PAPER_05,Multi Visual Modality Fall Detection Dataset,"Stefan Denkovski, Shehroz S. Khan, Brandon Malamis, Sae Young Moon, Bing Ye, Alex Mihailidis",2022,"IEEE Access (vol. 10, pp. 107386–107399)",10.1109/ACCESS.2022.3211939,"Fall detection, multi-modal, autoencoder, anomaly detection, deep learning, computer vision","Privacy violations and vulnerability to ambient illumination changes in conventional RGB cameras; lack of multi-modal visual datasets capturing synchronized thermal, infrared, and depth streams alongside physiological data.",Privacy-Preserving Ambient Assisted Living and Telehealth Monitoring,"Introduce the Multi Visual Modality Fall Detection (MMFD) dataset containing 6 visual streams (RGB, depth, thermal, IR, 8x8 low-res thermal array, skeleton keypoints) and 4 physiological sensors across 16 subjects; benchmark unsupervised spatio-temporal convolutional autoencoders for anomaly-based fall detection.","Addresses night/low-light CCTV operations (critical for 8:42 PM scenario), privacy preservation, and temporal autoencoder modeling. Lacks staircase environments and emergency response orchestration.",3,4
PAPER_10,Dilated spatial–temporal convolutional auto-encoders for human fall detection in surveillance videos,"Suyuan Li, Xin Song, Siyang Xu, Haoyang Qi, Yanbo Xue",2023,"ICT Express (Elsevier, vol. 9, no. 5, pp. 734–740)",10.1016/j.icte.2022.07.003,"Dilated convolution, Auto-encoder, Fall detection, LSTM","Heavy reliance of supervised fall detection on labor-intensive, scarce annotated fall data; limited receptive fields in standard convolutional layers hindering long-range temporal motion modeling; and privacy risks of RGB video.",Surveillance Video Healthcare Monitoring for Fall Detection,Propose an unsupervised Dilated Convolutional LSTM Auto-Encoder (DCLSTMAE) trained solely on normal daily activities using depth and thermal data to detect falls via spatial-temporal reconstruction error and dynamic fall scoring.,"Relevant for temporal modeling of motion transitions, expanding spatio-temporal receptive fields, and unsupervised anomaly scoring. Lacks standard RGB CCTV applicability, staircase testing, and emergency escalation.",3,4
PAPER_01,Bi-Modal Multiperspective Percussive (BiMP) Dataset for Visual and Audio Human Fall Detection,"Joe Dibble, Michael C. F. Bazzocchi",2025,"IEEE Access (vol. 13, pp. 26563–26578)",10.1109/ACCESS.2025.3531324,"Assisted living, audio analysis, fall detection, machine learning, multimodal dataset","Lack of publicly accessible, multi-perspective, synchronized visual and percussive spatial audio datasets for human fall detection, hindering multimodal audio-visual fall verification from varied vantage points.",Smart Home & Ambient Assisted Living (AAL) for Elderly Care,"Create and experimentally evaluate the BiMP dataset combining 4-camera multi-perspective RGB video with 4-channel spatialized impact audio, testing GoogLeNet and GoogLeNet+LSTM classifiers across various audio-visual configurations.","Relevant for camera angle variation, multi-perspective viewing, and the potential value of acoustic impact confirmation. Lacks staircase environments, edge hardware testing, and alert escalation mechanisms.",3,3
PAPER_08,Deep Learning driven automated person detection and tracking model on surveillance videos,"S. Sivachandiran, K. Jagan Mohan, G. Mohammed Nazer",2022,"Measurement: Sensors (Elsevier, vol. 24, 100422, pp. 1–7)",10.1016/j.measen.2022.100422,"Object detection, Object tracking, Surveillance videos, Deep learning, Hyperparameter optimizer","Sub-optimal bounding box accuracy, identity loss, and high tracking failure rates in multi-person surveillance footage due to background clutter, lighting variations, and improper hyperparameter configuration.","Automated Video Surveillance, Crowd Monitoring, and Security Analytics","Propose the DLD-APDT model combining an EfficientDet deep architecture for person detection, RMSProp-based hyperparameter optimization, and continuous multi-frame object tracking in surveillance video streams.","Directly implements the essential front-end stage of our target CCTV system (person detection and continuous tracking over time in surveillance video). However, does not include fall classification or emergency response.",3,3
